"","county_labels","date","AQI","lead","co","so2","no2","o3","pm10","pm25","time"
"175","Amador",2016-07-01,30,0.013,0.25,0.704545,4.343478,0.024176,19,396,31
"176","Amador",2016-08-01,31,0.014,0.275,0.686364,4.7108695,0.025765,22,542.8,32
"177","Amador",2016-09-01,40,0.017,0.329167,0.768182,6.108696,0.028353,27,537.4,33
"178","Amador",2016-10-01,32,0.015,0.341667,0.756522,7.35,0.025353,14,355,34
"179","Amador",2016-11-01,37,0.017,0.45,0.940909,10.4608695,0.017412,14,507.7,35
"180","Amador",2016-12-01,46,0.013,0.495833,1.059091,13.26087,0.015059,12,651.4,36
"181","Amador",2017-01-01,32,0.013,0.420833,0.959091,10.465217,0.020647,8,572.95,37
"182","Amador",2017-02-01,32,0.01975,0.366667,0.8863635,7.82971,0.027471,7,359.25,38
"183","Amador",2017-03-01,35,0.0175,0.370833,0.8355735,8.009091,0.027294,13,441.5,39
"184","Amador",2017-04-01,40,0.01475,0.3229165,0.477273,5.923913,0.0349115,12,381.6,40
"185","Amador",2017-05-01,35,0.013,0.283333,0.45,4.423913,0.031294,17,471.5,41
"186","Amador",2017-06-01,30,0.0145,0.266667,0.35,4.478261,0.025412,18,490.9,42
"187","Amador",2017-07-01,38,0.013,0.3,0.4326085,5.152174,0.0247945,24,609.2,43
"188","Amador",2017-08-01,47.5,0.01375,0.3,0.527922,5.191304,0.026353,28,760.1,44
"189","Amador",2017-09-01,42,0.0155,0.383333,0.581818,6.791304,0.028294,26,785.7,45
"190","Amador",2017-10-01,47,0.012,0.4979165,0.790909,12.147826,0.026588,30,970.7,46
"191","Amador",2017-11-01,35,0.0145,0.4408335,0.6778655,11.4152175,0.018438,13,581.75,47
"192","Amador",2017-12-01,65,0.0145,0.6375,0.947826,18.573617,0.012353,24,1098.3,48
"193","Amador",2018-01-01,52,0.016,0.466667,0.754545,13.173913,0.012824,11,518.9,49
"194","Amador",2018-02-01,38,0.016,0.420833,0.778261,12.717391,0.024294,13.5,323.6,50
"195","Amador",2018-03-01,35,0.013,0.379167,0.478261,9.326087,0.027882,8,305,51
"196","Amador",2018-04-01,39,0.012,0.3,0.36087,6.6326085,0.033765,14,347.9,52
"197","Amador",2018-05-01,34,0.0125,0.254167,0.265217,4.213043,0.032,19.5,388.75,53
"198","Amador",2018-06-01,40,0.015,0.2479165,0.513636,5.175593,0.029941,23.5,490.5,54
"199","Amador",2018-07-01,34,0.017,0.275,0.595652,5.117391,0.026188,27,361.2,55
"200","Amador",2018-08-01,53,0.019,0.304167,0.456522,5.7326085,0.0286695,37,567.45,56
"201","Amador",2018-09-01,42,0.014,0.3,0.622727,6.895652,0.027529,34,467.15,57
"202","Amador",2018-10-01,34,0.015,0.370833,0.6869565,10.495652,0.024059,31,336.5,58
"203","Amador",2018-11-01,56,0.016,0.636607,0.817391,17.304348,0.018,46,1898.1,59
"204","Amador",2018-12-01,42,0.014,0.458333,0.5477225,11.517391,0.014294,10,412.8,60
"205","Amador",2019-01-01,37,0.013,0.429167,0.578261,11.976087,0.0177945,15,554.2,61
"206","Amador",2019-02-01,34,0.012,0.325,0.452174,7.3456525,0.030176,8,246.8,62
"207","Amador",2019-03-01,38,0.016,0.358333,0.434783,8.382609,0.031706,11,340.8,63
"208","Amador",2019-04-01,37,0.012,0.3,0.4347825,6.013043,0.032059,14,370.3,64
"209","Amador",2019-05-01,35,0.012,0.241667,0.4,4.045652,0.032353,14,358.9,65
"210","Amador",2019-06-01,31,0.012,0.258333,0.436364,5.0434785,0.027412,17,442.6,66
"211","Amador",2019-07-01,30,0.012,0.258333,0.395455,4.373913,0.024412,18,447,67
"212","Amador",2019-08-01,31,0.015,0.3,0.354545,5.0478265,0.026529,20,368.8,68
"213","Amador",2019-09-01,31,0.016,0.3,0.3630435,5.691304,0.025588,16,272.7,69
"214","Amador",2019-10-01,34,0.019,0.4,0.627273,11.708696,0.027294,26,528.9,70
"215","Amador",2019-11-01,48.5,0.014,0.458333,0.752174,13.628261,0.023,23,718.3,71
"216","Amador",2019-12-01,29,0.012,0.40625,0.486957,10.3249485,0.016647,9,441.7,72
"217","Butte",2014-01-01,63,0.05,0.616667,0.611905,21.3152175,0.014,33,1583.25,1
"218","Butte",2014-02-01,28,0.052,0.4125,0.416234,11.5108695,0.020412,13,459.6,2
"219","Butte",2014-03-01,35,0.0655,0.3875,0.573419,9.468182,0.028118,15,704.5,3
"220","Butte",2014-04-01,41,0.036,0.341667,0.65,6.877778,0.034765,19,739.75,4
"221","Butte",2014-05-01,38.5,0.03,0.3,0.639502,4.969565,0.034353,22,663.45,5
"222","Butte",2014-06-01,34,0.023,0.275,0.609091,5.1,0.028059,25,749.45,6
"223","Butte",2014-07-01,29,0.021,0.3,0.581818,4.980435,0.023765,21,645.5,7
"224","Butte",2014-08-01,31,0.021,0.3,0.3454545,5.081818,0.025588,22,762.5,8
"225","Butte",2014-09-01,34,0.021,0.354167,0.525,6.241304,0.028,27.5,825.45,9
"226","Butte",2014-10-01,35,0.017,0.404167,0.722727,10.847826,0.026235,29,664.7,10
"227","Butte",2014-11-01,48,0.019,0.508333,0.65,13.251087,0.017118,18,1245.95,11
"228","Butte",2014-12-01,37,0.0235,0.441667,0.418615,11.234783,0.0166175,11,1016.45,12
"229","Butte",2015-01-01,74.5,0.024,0.6270835,0.919048,17.113043,0.0087355,19,1574.2,13
"230","Butte",2015-02-01,47,0.018,0.470833,0.704762,11.1913045,0.019235,19.5,736.1,14
"231","Butte",2015-03-01,35,0.016,0.404167,0.769048,10.63913,0.027235,16,819.6,15
"232","Butte",2015-04-01,42,0.0175,0.304167,0.645455,6.047826,0.036353,18,651.6,16
"233","Butte",2015-05-01,38,0.014,0.3,0.4553975,3.647826,0.036588,17,650,17
"234","Butte",2015-06-01,34,0.018,0.3075,0.5,5.226087,0.030059,21.5,564.2,18
"235","Butte",2015-07-01,29,0.019,0.3,0.502273,3.9021735,0.024529,18.5,482,19
"236","Butte",2015-08-01,35,0.017,0.333333,0.5373375,4.652174,0.027059,27,906.4,20
"237","Butte",2015-09-01,36,0.0195,0.345833,0.7,8.252174,0.028353,35,1001,21
"238","Butte",2015-10-01,37,0.019,0.425,0.7477275,10.128261,0.026176,34,1049,22
"239","Butte",2015-11-01,47,0.0195,0.504167,0.8710475,13.23913,0.016176,13.5,1392,23
"240","Butte",2015-12-01,50,0.025,0.4895835,0.85,13.109091,0.015882,18,1192.2,24
"241","Butte",2016-01-01,38,0.017,0.429167,0.695455,11.037352,0.019353,11,513.45,25
"242","Butte",2016-02-01,40,0.0275,0.4479165,0.945455,12.990732,0.020471,13,463.9,26
"243","Butte",2016-03-01,32,0.019,0.340909,0.672727,7.208696,0.027235,13,319.5,27
"244","Butte",2016-04-01,39,0.0175,0.28125,0.840909,5.7,0.034471,17,358.8,28
